mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_max_0,mfcc_max_1,mfcc_max_2,mfcc_max_3,mfcc_max_4,mfcc_max_5,mfcc_max_6,mfcc_max_7,mfcc_max_8,mfcc_max_9,mfcc_max_10,mfcc_max_11,mfcc_max_12,pitch_mean,pitch_std,pitch_max,energy_mean,energy_std,energy_max,zcr_mean,zcr_std,pause_ratio,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,label
-383.92242431640625,54.89004135131836,0.6634650230407715,12.435786247253418,7.733950614929199,0.5307502150535583,-3.216630458831787,-3.1593945026397705,-10.977551460266113,-2.848710536956787,0.8152979016304016,-3.037066698074341,1.9554481506347656,183.0304412841797,72.1684799194336,19.19580078125,20.930755615234375,17.339309692382812,13.761338233947754,10.853388786315918,11.505455017089844,17.01981544494629,8.865099906921387,8.66975212097168,9.678135871887207,9.7802152633667,-73.72388458251953,198.761962890625,66.27997589111328,71.49589538574219,56.14305877685547,41.49584197998047,16.283676147460938,27.955678939819336,8.212386131286621,14.597227096557617,19.282508850097656,13.166719436645508,42.40515899658203,119.69850158691406,92.23722839355469,398.1035461425781,0.03160496801137924,0.050476979464292526,0.23481233417987823,0.38279542326927185,0.2739165127277374,0.5664335489273071,3470.937744140625,1732.3157958984375,6330.38525390625,3002.907470703125,2628.24365234375,746.399658203125,LOW
-392.7721862792969,55.36389923095703,-1.548318862915039,16.038305282592773,8.81881046295166,-0.1465858668088913,-1.37339186668396,-5.293179035186768,-11.623183250427246,-1.348283290863037,0.8437145352363586,-2.64127779006958,1.017249584197998,185.05029296875,66.3084945678711,19.290407180786133,19.34529685974121,17.269622802734375,12.096329689025879,10.994114875793457,11.992073059082031,17.111732482910156,8.362707138061523,9.127845764160156,9.43024730682373,9.277676582336426,-63.46708297729492,194.97195434570312,59.571128845214844,64.09574890136719,48.868099212646484,24.488601684570312,22.071264266967773,21.058555603027344,8.576139450073242,17.010446548461914,20.866914749145508,13.476917266845703,39.858543395996094,115.51309204101562,82.30418395996094,395.6124572753906,0.029339496046304703,0.04709860682487488,0.2070787101984024,0.39105224609375,0.27991989254951477,0.5555555820465088,3264.83544921875,1519.0706787109375,6237.15234375,2843.94287109375,2675.836181640625,719.3312377929688,LOW
-413.0364990234375,58.024662017822266,0.15946397185325623,13.624650955200195,5.374111652374268,1.1623362302780151,-2.083359479904175,-5.382585525512695,-10.332822799682617,-3.662081241607666,0.5606008768081665,-2.838226079940796,1.834784984588623,190.3361358642578,72.18482971191406,21.651525497436523,19.52552604675293,16.699016571044922,14.556361198425293,9.847620010375977,13.118762016296387,16.662120819091797,9.160270690917969,9.703083992004395,8.179121971130371,9.952105522155762,-79.93634796142578,196.638427734375,64.76577758789062,72.63494110107422,47.558921813964844,42.10529327392578,12.533636093139648,22.5384521484375,10.439027786254883,9.300758361816406,20.811389923095703,14.159819602966309,46.281673431396484,131.6571807861328,92.7573471069336,400.1563720703125,0.028234025463461876,0.04471634328365326,0.19575917720794678,0.4083174169063568,0.29439079761505127,0.588652491569519,3233.896240234375,1558.605712890625,6180.4873046875,2897.48046875,2633.345947265625,774.9454956054688,LOW
-411.5960388183594,55.87942123413086,2.783261775970459,13.252022743225098,6.989667892456055,2.981273889541626,-1.5860295295715332,-6.961660861968994,-10.348488807678223,-3.270768880844116,1.1761654615402222,-1.498656153678894,0.551548957824707,184.56504821777344,66.48815155029297,20.10076904296875,20.778818130493164,16.5270938873291,12.170571327209473,8.940962791442871,14.407002449035645,14.485897064208984,8.596281051635742,8.642621040344238,8.127196311950684,7.379321575164795,-65.03242492675781,209.87042236328125,63.02922058105469,72.02374267578125,53.73859405517578,37.61572265625,13.33250617980957,20.515914916992188,7.278121471405029,8.428091049194336,21.657052993774414,15.068416595458984,27.479232788085938,118.33585357666016,94.39384460449219,402.777587890625,0.024907609447836876,0.041259732097387314,0.18371745944023132,0.4035305976867676,0.2824147343635559,0.5912408828735352,3114.6552734375,1433.8260498046875,6165.490234375,2756.731201171875,2675.40234375,710.1202392578125,LOW
-368.5909118652344,62.35503387451172,3.121180295944214,15.064668655395508,8.13243293762207,1.9270837306976318,-3.2746574878692627,-3.761791467666626,-9.750298500061035,-4.853836536407471,0.9963153600692749,-3.11607027053833,0.5463200807571411,182.82186889648438,68.40422821044922,22.141096115112305,20.880311965942383,18.506633758544922,12.202987670898438,12.59970760345459,10.263983726501465,13.529634475708008,9.228116989135742,11.612595558166504,8.898348808288574,7.95845890045166,-45.831947326660156,197.93817138671875,87.81910705566406,69.48783874511719,47.88895797729492,45.226043701171875,17.923200607299805,12.886602401733398,8.651737213134766,9.41964340209961,28.54313087463379,9.657721519470215,30.56897735595703,127.44116973876953,86.9049301147461,401.63140869140625,0.037070151418447495,0.05858267471194267,0.2704436779022217,0.36860448122024536,0.2845323085784912,0.5359477400779724,3226.498046875,1626.0662841796875,6070.041015625,3011.067138671875,2629.698486328125,744.0383911132812,LOW
-368.6590576171875,66.73646545410156,2.253488302230835,11.169915199279785,9.742077827453613,1.0580921173095703,-4.426185607910156,-4.683614730834961,-8.313273429870605,-4.813665866851807,1.7525571584701538,-2.37654185295105,-0.20691905915737152,169.38002014160156,73.04415893554688,22.74355125427246,19.891695022583008,18.055927276611328,10.8750581741333,12.005171775817871,9.763992309570312,12.4937744140625,9.619912147521973,9.512517929077148,8.573193550109863,8.167938232421875,-56.58805465698242,205.50534057617188,101.48100280761719,69.54232788085938,48.26435852050781,38.94166564941406,15.851835250854492,13.816930770874023,12.215124130249023,14.456404685974121,28.068016052246094,13.868590354919434,25.912221908569336,115.47620391845703,69.0245132446289,401.3208312988281,0.03215126320719719,0.04959661886096001,0.2788614332675934,0.3370361328125,0.2830204367637634,0.5064102411270142,3167.79052734375,1737.5269775390625,5815.55224609375,3203.818603515625,2569.832275390625,754.56396484375,LOW
-376.4132385253906,65.10820007324219,0.9303684830665588,13.633626937866211,5.959596157073975,2.8950705528259277,-1.3418188095092773,-4.775753021240234,-8.671516418457031,-4.5529985427856445,1.970605492591858,-1.6276460886001587,1.4267256259918213,195.66146850585938,77.89734649658203,25.64301109313965,20.614904403686523,18.188310623168945,14.160907745361328,9.612058639526367,12.725713729858398,14.762290954589844,10.12295913696289,11.67299747467041,8.155057907104492,7.82858943939209,-73.72871398925781,197.44546508789062,60.724613189697266,81.94439697265625,53.407447814941406,40.538169860839844,17.300491333007812,23.11563491821289,17.006956100463867,19.120880126953125,31.507497787475586,12.896564483642578,21.365028381347656,101.14511108398438,57.044307708740234,396.2629699707031,0.04092937707901001,0.05506668612360954,0.19460587203502655,0.3772667944431305,0.29543957114219666,0.5099337697029114,3240.736083984375,1791.8486328125,5997.9951171875,3170.921142578125,2520.161865234375,797.9364624023438,LOW
-398.9888610839844,68.69859313964844,1.100367784500122,13.685943603515625,8.338750839233398,2.067121982574463,-0.6167905926704407,-5.732325077056885,-7.861323356628418,-4.411919116973877,1.011472463607788,-1.7058650255203247,1.5934336185455322,196.15870666503906,75.41608428955078,22.913021087646484,19.570844650268555,15.341245651245117,11.68559741973877,9.485641479492188,13.25609016418457,13.27160930633545,9.734060287475586,10.683794021606445,7.825833320617676,7.857129096984863,-85.9111328125,207.2117919921875,65.4044418334961,77.96604919433594,48.70329284667969,36.38996124267578,12.193899154663086,11.571760177612305,17.023578643798828,16.83466339111328,25.990516662597656,16.796478271484375,21.873729705810547,108.25261688232422,70.2178726196289,398.0924072265625,0.03359825909137726,0.047425463795661926,0.1790018379688263,0.4012500047683716,0.3143855929374695,0.5333333611488342,3093.27880859375,1682.0179443359375,5886.7470703125,3111.539794921875,2561.44970703125,807.420654296875,LOW
-361.0087585449219,70.53291320800781,4.225180149078369,13.866500854492188,9.276524543762207,1.8420295715332031,-3.709106922149658,-2.884507656097412,-6.332503318786621,-4.483914852142334,2.006491184234619,-0.02967538870871067,-0.17859068512916565,190.54306030273438,71.59931945800781,20.32741355895996,21.24045753479004,19.03284454345703,11.79494857788086,12.667123794555664,9.233494758605957,10.060332298278809,10.108630180358887,10.030537605285645,7.469135284423828,6.917340278625488,-70.2308120727539,201.25894165039062,91.67405700683594,75.98212432861328,56.546897888183594,34.484405517578125,15.672646522521973,17.5456485748291,12.40926742553711,18.057783126831055,31.16388702392578,16.71050262451172,20.98604965209961,101.44112396240234,57.744972229003906,394.1031494140625,0.039634592831134796,0.0524153895676136,0.229927197098732,0.316336065530777,0.26760339736938477,0.48750001192092896,3168.72900390625,1775.8680419921875,5814.5029296875,3199.5712890625,2571.089111328125,744.6295776367188,LOW
-342.8092956542969,67.33959197998047,-0.44955161213874817,11.88434886932373,6.89911413192749,0.5723891854286194,-4.5503764152526855,-6.025094032287598,-7.934865474700928,-4.87244176864624,2.674752712249756,-1.4644697904586792,-1.1086302995681763,173.38404846191406,72.6961898803711,21.2421932220459,18.541894912719727,18.339191436767578,13.525476455688477,13.627182960510254,10.029313087463379,11.336018562316895,10.258248329162598,11.372945785522461,8.543458938598633,7.043978214263916,-97.77903747558594,195.82467651367188,73.5626220703125,74.26864624023438,49.95820617675781,42.64244842529297,31.928327560424805,22.415691375732422,9.596124649047852,20.354095458984375,26.236801147460938,19.139781951904297,23.858781814575195,113.32826232910156,76.43528747558594,398.35858154296875,0.03513620048761368,0.04833890125155449,0.25934866070747375,0.3437443673610687,0.2914755046367645,0.4450867176055908,3137.063232421875,1725.086669921875,5651.283203125,3103.166259765625,2513.6630859375,710.4805908203125,LOW
